地州,县市,景区名称,等级
吐鲁番市,托克逊县,盘吉尔怪石林景区,3A
吐鲁番市,托克逊县,零海拔酒庄,3A
巴音郭楞蒙古自治州,焉耆县,乡都酒堡生态旅游景区,3A
巴音郭楞蒙古自治州,库尔勒市,铁门关景区,3A
巴音郭楞蒙古自治州,和静县,东归生态公园景区,3A
巴音郭楞蒙古自治州,尉犁县,红色达西景区,3A
巴音郭楞蒙古自治州,和静县,克尔古提景区,3A
巴音郭楞蒙古自治州,和静县,土尔扈特民俗文化村,3A
巴音郭楞蒙古自治州,库尔勒市,康庄生态园,3A
巴音郭楞蒙古自治州,库尔勒市,体育公园,3A
巴音郭楞蒙古自治州,焉耆县,天塞酒庄,3A
巴音郭楞蒙古自治州,若羌县,楼兰博物馆,3A
巴音郭楞蒙古自治州,且末县,昆仑古村,3A
巴音郭楞蒙古自治州,焉耆县,七个星佛寺遗址,3A
巴音郭楞蒙古自治州,博湖县,罄玉休闲生态园,3A
巴音郭楞蒙古自治州,博湖县,西海桃花生态景区,3A
巴音郭楞蒙古自治州,且末县,托盖布拉克景区,3A
巴音郭楞蒙古自治州,若羌县,依吞布拉克镇生态景区,3A
阿克苏地区,阿克苏市,森林公园,3A
阿克苏地区,阿克苏市,凤泉河公园,3A
阿克苏地区,阿克苏市,幸福公园,3A
阿克苏地区,阿克苏市,阿克苏馕产业园,3A
阿克苏地区,阿克苏市,迎宾公园,3A
阿克苏地区,阿克苏市,皇宫湖沙漠湖泊旅游度假区,3A
阿克苏地区,阿克苏市,月亮泊戈壁湿地温泉旅游度假区,3A
阿克苏地区,库车市,甬库团结村景区,3A
阿克苏地区,库车市,浙商商贸城,3A
阿克苏地区,库车市,大馕城景区,3A
阿克苏地区,库车市,甬库文化园,3A
阿克苏地区,库车市,库木吐喇千佛洞,3A
阿克苏地区,库车市,苏巴什佛寺遗址,3A
阿克苏地区,沙雅县,月亮湾景区,3A
阿克苏地区,沙雅县,玛疯窝沙漠旅游景区,3A
阿克苏地区,沙雅县,奥普坎艺术家村落,3A
阿克苏地区,沙雅县,雁栖·沙雅现代农业科技产业园,3A
阿克苏地区,沙雅县,139胡杨秘境自驾公路,3A
阿克苏地区,新和县,汉西域都护府文化园,3A
阿克苏地区,新和县,通古斯巴西城址,3A
阿克苏地区,新和县,新和县博物馆,3A
阿克苏地区,拜城县,卡普司浪河景观带,3A
阿克苏地区,拜城县,铁热克温泉,3A
阿克苏地区,拜城县,亚满苏湿地公园,3A
阿克苏地区,拜城县,老虎台乡红色教育基地,3A
阿克苏地区,拜城县,克孜尔红石林,3A
阿克苏地区,温宿县,海立方欢乐海世界,3A
阿克苏地区,温宿县,龙泉湖公园,3A
阿克苏地区,温宿县,金华新村（汉易水乡）景区,3A
阿克苏地区,温宿县,帕克勒克景区,3A
阿克苏地区,阿瓦提县,刀郎故里,3A
阿克苏地区,阿瓦提县,恰其乐和村,3A
阿克苏地区,阿瓦提县,葡萄村,3A
阿克苏地区,阿瓦提县,红色逐梦文旅小镇,3A
阿克苏地区,阿瓦提县,索克满休闲公社,3A
阿克苏地区,乌什县,天南第一木耳村,3A
阿克苏地区,乌什县,燕泉河景区,3A
阿克苏地区,乌什县,泉域星空国际滑雪场·四季旅游度假区,3A
阿克苏地区,柯坪县,红沙漠景区,3A
阿克苏地区,柯坪县,黄杏之乡,3A
阿克苏地区,柯坪县,克斯勒度假村,3A
阿克苏地区,柯坪县,大湾沟,3A
阿克苏地区,柯坪县,万峰驼园,3A
克孜勒苏柯尔克孜自治州,阿图什市,阿图什天门景区,3A
克孜勒苏柯尔克孜自治州,阿图什市,阿图什阳光绿州生态园  ,3A
克孜勒苏柯尔克孜自治州,阿图什市,阿图什怪柳林景区,3A
克孜勒苏柯尔克孜自治州,阿图什市,阿图什市柯尔克孜文化展示馆,3A
克孜勒苏柯尔克孜自治州,阿图什市,阿图什市南湖公园  ,3A
克孜勒苏柯尔克孜自治州,阿克陶县,阿克陶县白山湖湿地公园,3A
克孜勒苏柯尔克孜自治州,阿克陶县,慕士塔格峰-喀拉库勒湖,3A
克孜勒苏柯尔克孜自治州,阿图什市,克州三千年风情街,3A
克孜勒苏柯尔克孜自治州,乌恰县,百杏生态园,3A
克孜勒苏柯尔克孜自治州,阿合奇县,柯尔克孜非遗小镇,3A
克孜勒苏柯尔克孜自治州,阿克陶县,阿克陶县白沙山-白沙湖,3A
克孜勒苏柯尔克孜自治州,阿合奇县,阿合奇县小木子都克,3A
克孜勒苏柯尔克孜自治州,阿克陶县,阿克陶县胡杨庄园,3A
克孜勒苏柯尔克孜自治州,阿图什市,阿扎克木纳格葡萄文化旅游景区,3A
喀什地区,喀什地区,喀什博物馆,3A
喀什地区,喀什市,高台民居旅游景区,3A
喀什地区,喀什市,骑仕大观园,3A
喀什地区,喀什市,西域生态庄园,3A
喀什地区,喀什市,汉诺依文化产业园,3A
喀什地区,疏勒县,张骞公园,3A
喀什地区,疏勒县,香妃湖花卉庄园景区,3A
喀什地区,疏勒县,牙甫泉沙疗滑雪中心景区,3A
喀什地区,疏附县,新疆民族乐器村,3A
喀什地区,英吉沙县,穆孜鲁克湿地公园,3A
喀什地区,莎车县,莎车县叶尔羌国家湿地公园,3A
喀什地区,莎车县,莎车县米夏红樱桃景区,3A
喀什地区,莎车县,莎车县中国巴旦木之乡景区,3A
喀什地区,莎车县,叶河馕观苑,3A
喀什地区,泽普县,古勒巴格景区,3A
喀什地区,泽普县,布依鲁克乡塔吉克风情小镇,3A
喀什地区,叶城县,叶城县锡提亚迷城景区,3A
喀什地区,叶城县,叶城县坡陇原始森林景区,3A
喀什地区,叶城县,叶城县核桃七仙园景区,3A
喀什地区,叶城县,叶城县烈士陵园,3A
喀什地区,叶城县,叶城县邓缵先纪念馆,3A
喀什地区,麦盖提县,刀郎乡里,3A
喀什地区,麦盖提县,叶尔羌河生态文化园,3A
喀什地区,麦盖提县,新疆塔克拉玛干N39°沙漠旅游景区,3A
喀什地区,巴楚县,白沙山沙漠公园,3A
喀什地区,伽师县,森林旅游生态园景区,3A
喀什地区,伽师县,馕文化产业园,3A
喀什地区,岳普湖县,柳树王风景区,3A
喀什地区,泽普县,泽普县梧桐生态公园,3A
和田地区,于田县,于田县达里雅博依景区,3A
和田地区,策勒县,策勒县毛主席像章陈列馆,3A
和田地区,洛浦县,洛浦县阿其克千山河谷景区,3A
和田地区,洛浦县,洛浦县热瓦克佛寺,3A
和田地区,和田市,和田市吉亚丽人艾特莱斯绸手工作坊,3A
和田地区,和田市,和田夜市（玉泉湖公园）,3A
和田地区,和田市,和田玉都城,3A
和田地区,和田市,和田市昆仑公园,3A
和田地区,和田市,和田市昆仑动物园,3A
和田地区,和田市,和田市欣明·南国城景区,3A
和田地区,和田市,和田市大漠湖杨景区,3A
